,Date,value,Open,High,Low,Close,Adj Close,Volume
157,2015-08-04,4.0,17596.929688,17635.779297,17505.5,17550.689453,17550.689453,99060000
158,2015-08-05,4.0,17555.240234,17661.369141,17492.900391,17540.470703,17540.470703,102450000
159,2015-08-06,4.0,17542.609375,17572.039063,17362.859375,17419.75,17419.75,96170000
160,2015-08-07,4.0,17414.939453,17414.939453,17279.080078,17373.380859,17373.380859,81800000
161,2015-08-10,4.0,17375.179688,17629.130859,17375.179688,17615.169922,17615.169922,92430000
162,2015-08-11,4.0,17593.589844,17593.589844,17352.630859,17402.839844,17402.839844,103010000
163,2015-08-12,4.0,17382.929688,17423.900391,17125.810547,17402.509766,17402.509766,120400000
164,2015-08-13,4.0,17401.640625,17481.779297,17341.339844,17408.25,17408.25,88550000
165,2015-08-14,4.0,17410.119141,17492.900391,17394.060547,17477.400391,17477.400391,82120000
166,2015-08-17,4.0,17472.660156,17551.400391,17341.720703,17545.179688,17545.179688,73380000
167,2015-08-18,4.0,17537.300781,17568.400391,17486.419922,17511.339844,17511.339844,79900000
168,2015-08-19,4.0,17508.740234,17517.189453,17282.419922,17348.730469,17348.730469,104720000
169,2015-08-20,4.0,17345.320313,17345.320313,16990.689453,16990.689453,16990.689453,128530000
170,2015-08-21,4.0,16990.689453,16990.689453,16459.550781,16459.75,16459.75,225170000
171,2015-08-24,4.0,16459.75,16459.75,15370.330078,15871.349609,15871.349609,293920000
172,2015-08-25,4.0,15882.269531,16312.94043,15651.240234,15666.44043,15666.44043,213220000
173,2015-08-26,4.0,15676.259766,16303.75,15676.259766,16285.509766,16285.509766,208420000
174,2015-08-27,4.0,16285.509766,16666.689453,16285.509766,16654.769531,16654.769531,171980000
175,2015-08-28,4.0,16649.419922,16669.970703,16535.179688,16643.009766,16643.009766,131790000
176,2015-08-31,4.0,16632.019531,16632.019531,16444.050781,16528.029297,16528.029297,141440000
177,2015-09-01,4.0,16528.029297,16528.029297,15979.950195,16058.349609,16058.349609,171390000
178,2015-09-02,4.0,16058.349609,16352.580078,16058.349609,16351.379883000001,16351.379883000001,133480000
179,2015-09-03,4.0,16364.339844,16550.070313,16317.30957,16374.759766,16374.759766,109730000
180,2015-09-04,4.0,16371.759766,16371.759766,16026.610352000002,16102.379883000001,16102.379883000001,127270000
181,2015-09-08,4.0,16109.929688,16503.410156,16109.929688,16492.679688,16492.679688,123870000
182,2015-09-09,4.0,16505.039063,16664.650391,16220.099609,16253.570313,16253.570313,118790000
183,2015-09-10,4.0,16252.570313,16441.939453,16212.080078,16330.400391,16330.400391,122690000
184,2015-09-11,4.0,16330.400391,16434.759766,16244.650391,16433.089844,16433.089844,104630000
185,2015-09-14,4.0,16450.859375,16450.859375,16330.870116999999,16370.959961000002,16370.959961000002,92660000
186,2015-09-15,4.0,16382.580078,16644.109375,16382.580078,16599.849609,16599.849609,93050000
187,2015-09-16,4.0,16599.509766,16755.980469,16593.900391,16739.949219,16739.949219,99620000
188,2015-09-17,4.0,16738.080078,16933.429688,16639.929688,16674.740234,16674.740234,129600000
189,2015-09-18,4.0,16674.740234,16674.740234,16343.759766,16384.580078,16384.580078,341690000
190,2015-09-21,4.0,16406.099609,16578.599609,16391.880859,16510.189453,16510.189453,90730000
191,2015-09-22,4.0,16477.449219,16477.449219,16221.730469,16330.469727000002,16330.469727000002,119010000
192,2015-09-23,4.0,16332.80957,16355.290038999998,16211.980469,16279.889647999998,16279.889647999998,86030000
193,2015-09-24,4.0,16257.110352000002,16257.110352000002,16016.360352000002,16201.320313,16201.320313,122220000
194,2015-09-25,4.0,16205.070313,16465.230469,16205.070313,16314.669922,16314.669922,130790000
195,2015-09-28,4.0,16313.259766,16313.259766,15981.849609,16001.889647999998,16001.889647999998,139930000
196,2015-09-29,4.0,16001.759766,16118.889647999998,15942.370116999999,16049.129883000001,16049.129883000001,121160000
197,2015-09-30,4.0,16057.080078,16297.599609,16057.080078,16284.700195,16284.700195,145740000
198,2015-10-01,4.0,16278.620116999999,16348.870116999999,16073.820313,16272.009766,16272.009766,111420000
199,2015-10-02,4.0,16258.25,16472.769531,16013.660156,16472.369141,16472.369141,136870000
200,2015-10-05,4.0,16502.099609,16798.369141,16502.099609,16776.429688,16776.429688,127660000
201,2015-10-06,4.0,16774.019531,16865.089844,16746.029297,16790.189453,16790.189453,120010000
202,2015-10-07,4.0,16805.419922,16963.300781,16765.0,16912.289063,16912.289063,115690000
203,2015-10-08,4.0,16904.169922,17081.279297,16859.339844,17050.75,17050.75,100730000
204,2015-10-09,4.0,17054.689453,17110.880859,17027.230469,17084.490234,17084.490234,103730000
205,2015-10-13,4.0,17113.550781,17172.810547,17034.449219,17081.890625,17081.890625,99400000
206,2015-10-15,4.0,16944.859375,17144.419922,16933.570313,17141.75,17141.75,122960000
207,2015-10-16,4.0,17141.75,17220.019531,17107.349609,17215.970703,17215.970703,145880000
208,2015-10-20,4.0,17228.470703,17264.880859,17147.990234,17217.109375,17217.109375,106670000
209,2015-10-22,4.0,17180.880859,17505.179688,17180.880859,17489.160156,17489.160156,152420000
210,2015-10-23,4.0,17525.109375,17679.369141,17525.109375,17646.699219,17646.699219,158090000
211,2015-10-26,4.0,17649.570313,17660.699219,17602.509766,17623.050781,17623.050781,116660000
212,2015-10-27,4.0,17608.890625,17635.179688,17540.570313,17581.429688,17581.429688,113960000
213,2015-10-29,4.0,17771.5,17786.0,17684.720703,17755.800781,17755.800781,90300000
214,2015-10-30,4.0,17756.599609,17799.960938,17662.869141,17663.539063,17663.539063,149250000
215,2015-11-03,4.0,17819.740234,17977.849609,17796.019531,17918.150391,17918.150391,92290000
216,2015-11-05,4.0,17871.25,17929.509766,17779.189453,17863.429688,17863.429688,98910000
217,2015-11-06,4.0,17855.220703,17912.039063,17768.599609,17910.330078,17910.330078,107450000
218,2015-11-10,4.0,17724.130859,17768.660156,17657.720703,17758.210938,17758.210938,108640000
219,2015-11-11,4.0,17769.5,17807.179688,17696.910156,17702.220703,17702.220703,95230000
220,2015-11-12,4.0,17691.929688,17691.929688,17443.5,17448.070313,17448.070313,113660000
221,2015-11-16,4.0,17229.939453,17483.009766,17210.429688,17483.009766,17483.009766,137590000
222,2015-11-17,4.0,17486.990234,17599.330078,17451.410156,17489.5,17489.5,167190000
223,2015-11-20,4.0,17732.75,17914.339844,17732.75,17823.810547,17823.810547,153140000
224,2015-11-24,4.0,17770.900391,17862.599609,17683.509766,17812.189453,17812.189453,127170000
225,2015-12-01,4.0,17719.720703,17895.5,17719.720703,17888.349609,17888.349609,103880000
226,2015-12-02,4.0,17883.140625,17901.580078,17708.199219,17729.679688,17729.679688,102860000
227,2015-12-03,4.0,17741.570313,17780.589844,17425.560547,17477.669922,17477.669922,126990000
228,2015-12-09,4.0,17558.179688,17767.689453,17403.509766,17492.300781,17492.300781,122020000
229,2015-12-10,4.0,17493.169922,17697.740234,17474.660156,17574.75,17574.75,107310000
230,2015-12-11,4.0,17574.75,17574.75,17230.5,17265.210938,17265.210938,134510000
231,2015-12-15,4.0,17374.779297,17627.630859,17341.179688,17524.910156,17524.910156,123430000
232,2015-12-16,4.0,17530.849609,17784.359375,17483.679688,17749.089844,17749.089844,123790000
233,2015-12-17,4.0,17756.539063,17796.759766,17493.5,17495.839844,17495.839844,115780000
234,2015-12-22,4.0,17253.550781,17451.109375,17242.859375,17417.269531,17417.269531,91570000
235,2015-12-23,4.0,17427.630859,17607.919922,17427.630859,17602.609375,17602.609375,92820000
236,2015-12-29,4.0,17547.369141,17750.019531,17547.369141,17720.980469,17720.980469,69860000
237,2016-03-23,4.0,17588.810547,17588.810547,17486.269531,17502.589844,17502.589844,84240000
